timestamp,pressure,temperature,altitude,ASMaccelX,ASMaccelY,ASMaccelZ,ASMgyrX,ASMgyrY,ASMgyrZ,ICMaccelX,ICMaccelY,ICMaccelZ,ICMgyrX,ICMgyrY,ICMgyrZ,magX,magY,magZ,ICMtemp,lat,lon,altMSL,altEll,velN,velE,velD,epochTime,satellites,gpsLockType
1205,1001.4202,23.0700,98.9429,-0.0260,0.0100,1.0140,0.7000,-1.9600,-0.4200,-0.1149,-0.0383,9.9455,0.0053,-0.0096,0.0032,16.5000,27.9000,22.6500,25.8402,401294976.00,1515464064.00,390737536.00,2018432000.00,-1824796820,1105008131,453138611,133789126,73,75
1230,1001.4038,23.0700,99.0804,-0.0120,0.0070,1.0120,0.9100,-1.6800,-1.6800,-0.1867,0.1341,9.7779,-0.0043,0.0000,0.0021,16.2000,26.7000,22.9500,25.6006,401294976.00,1515464064.00,390737536.00,2018432000.00,-1824796820,1105008131,453138611,133789126,73,75
1255,1001.4038,23.0700,99.0804,-0.0230,0.0090,1.0160,1.1200,-1.1900,-0.4900,-0.1676,-0.1053,9.8210,0.0043,-0.0032,-0.0032,17.8500,26.2500,23.1000,25.9840,401294976.00,1515464064.00,390737536.00,2018432000.00,-1824796820,1105008131,453138611,133789126,73,75
1285,1001.4346,23.0700,98.8219,-0.0200,0.0090,1.0150,0.8400,-1.6100,-0.4900,-0.1101,0.0287,9.9216,0.0000,-0.0043,0.0074,17.1000,28.0500,21.7500,25.9361,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
1311,1001.4346,23.0700,98.8219,-0.0130,0.0070,1.0160,1.0500,-1.3300,-0.2800,-0.1101,0.0766,9.8689,0.0032,-0.0011,0.0053,16.2000,27.9000,21.4500,25.8402,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
1336,1001.4172,23.0800,98.9675,-0.0080,0.0070,1.0130,0.8400,-1.6100,-0.2100,-0.1484,0.1197,9.8737,-0.0117,-0.0021,0.0043,16.0500,27.3000,22.3500,25.9840,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
1381,1001.4343,23.0800,98.8239,0.0000,0.0130,1.0160,1.2600,-0.9800,-0.0700,-0.1389,0.1197,9.8450,0.0053,-0.0074,0.0043,16.0500,27.3000,21.0000,26.1757,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
1407,1001.4343,23.0800,98.8239,0.0000,0.0090,1.0140,0.8400,-1.6800,0.0000,-0.0958,0.0575,9.8210,-0.0064,0.0011,0.0064,16.5000,27.9000,21.9000,25.9361,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
1431,1001.4111,23.0900,99.0188,-0.0110,0.0090,1.0160,1.1200,-1.1900,0.0000,-0.1197,0.0144,9.8928,0.0032,-0.0032,0.0074,16.9500,27.9000,22.9500,26.0319,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
1458,1001.4111,23.0900,99.0188,-0.0150,0.0100,1.0150,0.8400,-1.6800,-0.0700,-0.0862,-0.0335,9.8928,-0.0053,-0.0043,0.0053,16.9500,27.9000,22.2000,25.6006,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
